index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
24,424650,1069,1,7,2,0,2,0,0,0,0,0,6000,4000,0,0,1,0
25,38820,213,-82,-57,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
26,56960,200,-70,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,212260,729,-50,-28,2,1,1,0,0,0,0,0,1400,1000,0,0,1,0
28,42950,172,-76,-61,1,0,1,0,0,0,0,0,6000,6000,0,0,0,0
29,172290,437,-57,-55,1,1,0,0,0,0,0,0,600,600,0,0,1,0
30,395110,1043,46,40,3,0,3,0,0,0,0,0,6000,2000,0,0,1,0
31,51320,239,11,23,1,0,1,0,0,0,0,0,6000,6000,0,0,0,0
32,144880,361,-46,-52,1,0,1,0,0,0,0,0,2000,2000,0,0,1,0
33,477750,1132,86,60,3,3,0,0,0,0,0,0,1500,600,0,0,1,0
34,71840,255,54,28,1,0,1,0,0,0,0,0,6000,6000,0,0,0,0
35,127360,351,-54,-53,1,1,0,0,0,0,0,0,700,700,0,0,1,0
36,514800,1369,95,94,7,4,2,1,0,0,0,0,15700,10000,0,0,1,0
37,69440,266,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,28460,117,-45,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,23220,112,-53,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,16630,81,-65,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8750,47,-80,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,20150,64,-51,-62,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
43,15590,82,-59,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,102720,265,-64,-66,2,1,1,0,0,0,0,0,2700,2000,0,0,1,0
45,250030,687,-8,-5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,39510,204,12,40,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
47,64200,198,86,35,1,1,0,0,0,0,0,0,500,500,0,1,0,0
48,309010,983,15,38,2,1,1,0,0,0,0,0,1800,1000,0,1,1,1
49,59060,264,65,85,1,0,1,0,0,0,0,0,6000,6000,0,1,0,1
50,66510,215,93,50,1,1,0,0,0,0,0,0,300,300,0,1,0,1
51,248900,739,-9,0,1,1,0,0,0,0,0,0,400,400,0,1,1,1
52,51620,186,51,34,1,0,1,0,0,0,0,0,7000,7000,0,1,0,0
53,45150,140,24,-4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,60460,191,56,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,18330,91,-57,-43,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
56,50580,134,15,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,269070,767,-1,4,2,2,0,0,0,0,0,0,800,400,0,0,1,0
58,37360,171,-21,0,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
59,372770,975,37,32,3,3,0,0,0,0,0,0,1400,700,0,0,1,0
60,44180,203,-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,32070,138,-36,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,31540,121,-32,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,46380,133,6,-16,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
64,18160,78,-57,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,147520,472,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,202640,588,-33,-41,2,1,1,0,0,0,0,0,4300,4000,0,0,1,0
67,259110,1409,-11,46,1,1,0,0,0,0,0,0,900,900,0,0,1,0
68,40210,193,-71,-59,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
69,59210,175,-54,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,590510,1780,23,-6,1,1,0,0,0,0,0,0,800,800,0,0,1,0
71,75930,305,-38,-27,1,0,1,0,0,0,0,0,6000,6000,0,0,0,0
72,73030,240,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,317360,1068,-36,-44,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,227990,734,-52,-59,2,1,1,0,0,0,0,0,4300,4000,0,0,1,0
75,96080,433,60,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,210960,773,-44,-35,1,0,1,0,0,0,0,0,5000,5000,0,0,1,0
77,24900,159,-57,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,302440,1250,-16,9,2,2,0,0,0,0,0,0,600,300,0,0,1,0
79,46160,250,-16,15,1,0,1,0,0,0,0,0,6000,6000,0,0,0,0
80,436650,1232,23,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0
81,58230,279,8,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,36380,222,-32,-2,1,0,1,0,0,0,0,0,4000,4000,0,1,0,0
83,169370,644,-53,-45,0,0,0,0,0,0,0,0,0,0,0,1,1,0
84,96600,383,87,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,233810,839,-31,-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,149050,697,-54,-35,1,0,1,0,0,0,0,0,6000,6000,0,0,1,0
87,63550,325,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,194580,697,-35,-32,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,63550,325,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,194580,697,-35,-32,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,46020,267,-18,6,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
92,104390,331,91,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,285750,791,1,-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,26510,106,-55,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,25580,120,-54,-53,1,0,1,0,0,0,0,0,6000,6000,0,0,0,0
96,298230,916,9,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,39040,231,-26,-5,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
98,54990,182,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,172120,537,-35,-41,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,25280,158,-54,-35,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
101,270040,717,10,-14,2,2,0,0,0,0,0,0,800,500,0,0,1,0
102,41120,132,-21,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,22710,68,-57,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,13160,46,-71,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,19500,80,-51,-51,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
106,12970,53,-65,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,166700,363,-34,-56,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,274170,997,15,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,56120,222,100,89,1,0,1,0,0,0,0,0,5000,5000,0,1,0,0
110,226790,717,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
111,134640,611,-41,-16,0,0,0,0,0,0,0,0,0,0,0,1,1,0
112,49910,208,61,61,1,0,1,0,0,0,0,0,3000,3000,0,1,0,0
113,328050,707,51,0,1,1,0,0,0,0,0,0,200,200,0,1,1,0
114,140090,380,-40,-46,0,0,0,0,0,0,0,0,0,0,0,1,1,0
115,42820,150,28,9,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
116,157740,440,-31,-35,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,325750,1068,50,67,1,0,1,0,0,0,0,0,3000,3000,0,0,1,0
118,300520,894,37,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,465730,1325,-7,-12,1,0,1,0,0,0,0,0,4000,4000,0,0,1,0
120,336600,984,-32,-34,1,0,1,0,0,0,0,0,4000,4000,0,0,1,0
121,112300,263,-55,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,951410,1332,98,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,203850,476,-14,-32,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
124,715390,1923,36,36,1,1,0,0,0,0,0,0,300,300,0,0,1,0
125,160350,828,-31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,76150,260,-52,-50,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
127,373180,1246,-32,-14,1,0,1,0,0,0,0,0,2000,2000,0,0,1,0
128,481630,1678,-10,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,620720,1789,17,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,99160,514,-34,4,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
131,280830,689,94,39,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
132,557230,1642,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,65800,259,-58,-49,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
134,270490,865,83,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,307540,1020,-44,-32,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,51230,222,-68,-57,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
137,314100,904,-41,-37,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,368340,1325,-28,-4,1,0,1,0,0,0,0,0,2000,2000,0,0,1,0
139,114540,488,-23,0,2,0,2,0,0,0,0,0,8000,5000,0,0,0,0
140,316200,1089,-37,-21,3,1,2,0,0,0,0,0,2700,1000,0,0,1,0
141,209760,919,46,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,46300,197,-69,-63,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
143,372380,1264,-26,-9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,47830,264,-65,-47,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
145,396530,1209,-10,-13,1,0,1,0,0,0,0,0,6000,6000,0,0,1,0
146,87740,357,-30,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,74570,308,-41,-35,2,0,2,0,0,0,0,0,4000,3000,0,0,0,0
148,37490,224,-70,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,303610,1034,-26,-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,278230,1060,-31,-18,1,1,0,0,0,0,0,0,900,900,0,0,1,0
151,64930,273,-35,-33,1,0,1,0,0,0,0,0,5000,5000,0,0,0,0
152,498960,1447,30,17,1,1,0,0,0,0,0,0,900,900,0,0,1,0
153,443740,1321,20,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154,39620,195,-61,-53,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
155,788230,1484,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,119460,269,-70,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,65100,172,-82,-75,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
158,1049580,1807,31,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0
159,715540,1471,-13,-4,2,2,0,0,0,0,0,0,900,600,0,1,1,0
160,92520,169,-73,-74,1,0,0,1,0,0,0,0,10000,10000,0,1,0,0
161,974430,1828,20,20,2,1,0,1,0,0,0,0,20600,20000,1,2,1,0
162,696470,1368,-16,-12,2,1,1,0,0,0,0,0,2400,2000,1,2,1,0
163,61620,195,-33,-4,1,0,1,0,0,0,0,0,3000,3000,1,2,0,0
164,1124850,2153,37,39,3,1,2,0,0,0,0,0,3900,2000,0,2,1,0
165,640820,1235,-25,-23,1,0,1,0,0,0,0,0,5000,5000,0,1,1,0
166,1096910,2037,31,29,2,1,1,0,0,0,0,0,3700,3000,0,1,1,0
167,155540,363,74,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0
168,722590,2125,-17,30,2,0,2,0,0,0,0,0,5000,4000,0,1,1,0
169,582700,1232,-32,-28,1,0,1,0,0,0,0,0,7000,7000,0,1,1,0
170,691310,1416,-14,-6,0,0,0,0,0,0,0,0,0,0,0,1,1,0
171,698810,1279,-11,-14,3,0,3,0,0,0,0,0,8000,4000,0,1,1,0
172,94110,314,-76,-58,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,716630,1677,-8,14,2,2,0,0,0,0,0,0,700,500,0,0,1,0
174,641120,1571,-17,6,1,1,0,0,0,0,0,0,800,800,0,0,1,0
175,384230,751,4,6,3,1,2,0,0,0,0,0,9700,6000,0,0,0,0
176,790830,1434,5,-4,2,0,1,1,0,0,0,0,13000,10000,0,0,1,0
177,390180,938,6,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,69360,257,-81,-65,1,0,1,0,0,0,0,0,4000,4000,0,1,0,0
179,936850,1737,24,17,2,1,1,0,0,0,0,0,2600,2000,0,1,1,0
180,432690,1012,30,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181,441960,1006,-42,-33,3,0,3,0,0,0,0,0,6000,3000,0,0,1,0
182,912890,2001,25,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,446210,1030,-40,-32,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,84630,233,-75,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,77540,174,-75,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,117040,328,-57,-45,1,0,1,0,0,0,0,0,2000,2000,0,0,0,0
187,414700,900,69,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,960770,2117,36,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,763520,2079,5,36,0,0,0,0,0,0,0,0,0,0,0,1,1,1
190,541040,1295,-26,-19,4,3,1,0,0,0,0,0,4200,3000,0,1,1,1
191,1127430,3031,58,90,1,1,0,0,0,0,0,0,300,300,0,1,1,0
192,664090,1824,-12,5,2,2,0,0,0,0,0,0,1100,600,0,1,1,0
193,320150,1012,-58,-42,2,0,2,0,0,0,0,0,5000,3000,0,0,1,0
194,768080,2124,8,24,1,1,0,0,0,0,0,0,300,300,0,0,1,0
195,474770,1512,-32,-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0
196,682910,1486,-2,-18,2,0,2,0,0,0,0,0,6000,4000,0,0,1,0
197,1256570,3289,86,88,3,2,1,0,0,0,0,0,6200,5000,0,0,1,0
198,576040,1541,-24,-22,1,1,0,0,0,0,0,0,900,900,0,0,1,0
199,782750,1593,9,-17,2,0,2,0,0,0,0,0,6000,3000,0,0,1,0
200,1371400,3040,91,63,1,1,0,0,0,0,0,0,300,300,0,0,1,0
201,891720,2037,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,1034700,1837,33,-6,1,0,1,0,0,0,0,0,2000,2000,0,0,1,0
203,2129020,3722,161,91,2,1,0,1,0,0,0,0,20600,20000,1,1,1,1
204,1547010,3060,55,38,3,1,2,0,0,0,0,0,6500,4000,1,1,1,0
205,924910,1869,-14,-19,0,0,0,0,0,0,0,0,0,0,1,1,1,0
206,1988970,3697,78,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,218630,645,-11,14,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
208,1018360,2263,-19,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,1189240,2159,-3,-12,3,2,1,0,0,0,0,0,5200,4000,0,0,1,0
210,1582550,2545,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,927530,1777,-32,-32,1,0,1,0,0,0,0,0,3000,3000,0,0,1,0
212,2052510,3635,55,46,1,1,0,0,0,0,0,0,800,800,0,0,1,0
213,1260100,2519,-12,-5,1,1,0,0,0,0,0,0,600,600,0,0,1,0
214,1062280,1982,-27,-27,2,1,1,0,0,0,0,0,5200,5000,0,0,1,0
215,2196220,3848,62,51,3,1,2,0,0,0,0,0,8500,4000,0,0,1,0
216,1138340,2106,-20,-20,2,0,2,0,0,0,0,0,11000,9000,0,0,1,0
217,918020,1759,-36,-34,2,0,2,0,0,0,0,0,5000,3000,0,0,1,0
218,1766860,2899,32,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,1699290,3425,21,36,1,0,0,1,0,0,0,0,50000,50000,1,0,1,0
220,301550,922,32,66,1,0,1,0,0,0,0,0,3000,3000,1,1,0,0
221,1355970,2326,-7,-12,0,0,0,0,0,0,0,0,0,0,1,1,1,0
222,2595650,4365,81,66,0,0,0,0,0,0,0,0,0,0,0,1,1,0
223,2160800,4518,35,57,4,2,2,0,0,0,0,0,5100,2000,0,1,1,0
224,1367850,3137,-15,5,1,0,1,0,0,0,0,0,1000,1000,0,0,1,0
225,251120,624,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,157450,418,-33,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,129740,306,-39,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,144520,407,-34,-27,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
229,1345240,3510,-17,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,2102300,4014,27,26,2,0,2,0,0,0,0,0,4000,3000,0,0,1,0
231,219070,475,15,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,628360,636,-37,-58,2,1,1,0,0,0,0,0,2300,2000,0,0,1,0
233,1449990,1581,51,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,1531530,1680,52,18,2,0,2,0,0,0,0,0,5000,3000,0,0,1,0
235,195510,321,-61,-57,1,0,1,0,0,0,0,0,6000,6000,0,1,0,0
236,1312110,1471,24,2,1,0,1,0,0,0,0,0,3000,3000,0,1,1,0
237,315650,645,-33,-9,1,0,1,0,0,0,0,0,5000,5000,0,1,0,0
238,1061760,1443,-3,0,1,0,1,0,0,0,0,0,3000,3000,0,1,1,0
239,1283710,1556,17,9,2,1,0,1,0,0,0,0,40600,40000,1,1,1,0
240,1134540,1363,1,-5,2,0,2,0,0,0,0,0,7000,5000,1,1,1,0
241,525630,734,-54,-48,1,1,0,0,0,0,0,0,200,200,1,0,1,0
242,1661100,1772,52,32,1,0,1,0,0,0,0,0,9000,9000,0,0,1,0
243,1310730,1504,13,9,2,1,1,0,0,0,0,0,4200,4000,0,0,1,0
244,1101540,1185,-7,-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,1496830,1645,21,15,3,2,1,0,0,0,0,0,5700,5000,0,1,1,0
246,1323740,1405,7,-2,1,0,1,0,0,0,0,0,3000,3000,0,1,1,0
247,943300,987,-23,-30,2,1,1,0,0,0,0,0,1400,1000,0,1,1,0
248,348780,723,-23,4,1,1,0,0,0,0,0,0,300,300,0,1,0,0
249,154420,319,-46,-43,1,0,1,0,0,0,0,0,3000,3000,0,1,0,0
250,1514120,1518,28,12,3,2,1,0,0,0,0,0,1900,1000,0,1,1,0
251,1811640,1927,47,41,1,0,0,1,0,0,0,0,40000,40000,1,1,1,0
252,1446770,1471,13,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0
253,1132810,1893,-14,34,5,3,2,0,0,0,0,0,7000,3000,1,1,1,0
254,1367690,2902,0,90,4,2,1,1,0,0,0,0,25400,20000,1,1,1,0
255,814170,2082,-39,27,2,1,1,0,0,0,0,0,1700,1000,1,1,1,1
256,600400,1688,-54,-1,2,1,1,0,0,0,0,0,2200,2000,1,1,1,1
257,886800,2519,-29,44,3,0,2,1,0,0,0,0,49000,40000,1,1,1,0
258,588930,1807,-50,-2,1,0,1,0,0,0,0,0,4000,4000,1,1,1,0
259,542890,1623,-51,-14,3,0,2,1,0,0,0,0,25000,20000,1,0,1,0
260,1104700,2584,3,33,0,0,0,0,0,0,0,0,0,0,1,0,1,0
261,734930,2062,-29,1,2,1,1,0,0,0,0,0,4800,4000,1,0,1,0
262,509190,1758,-45,-15,2,1,1,0,0,0,0,0,2300,2000,0,0,1,0
263,480250,2368,-42,13,2,0,1,1,0,0,0,0,34000,30000,1,0,1,0
264,428740,2031,-44,-5,1,0,1,0,0,0,0,0,4000,4000,1,0,1,0
265,450060,2019,-33,-2,3,0,3,0,0,0,0,0,14000,8000,1,0,1,0
266,627380,3155,-1,54,1,1,0,0,0,0,0,0,800,800,0,0,1,0
267,448900,2162,-29,-1,5,1,3,1,0,0,0,0,31500,20000,1,0,1,0
268,453850,1973,-23,-9,1,0,1,0,0,0,0,0,8000,8000,1,0,1,0
269,779850,2999,35,38,2,1,1,0,0,0,0,0,5600,5000,1,0,1,0
270,146840,744,-68,-46,1,0,1,0,0,0,0,0,2000,2000,0,0,0,0
271,675030,1992,12,-14,4,1,3,0,0,0,0,0,5300,2000,0,0,1,0
272,811060,2877,45,28,2,2,0,0,0,0,0,0,900,700,0,0,1,0
273,538060,2075,-5,-11,2,2,0,0,0,0,0,0,900,700,0,0,1,0
274,372470,1848,-35,-22,3,0,2,1,0,0,0,0,70000,60000,1,0,1,0
275,439210,2259,-21,-2,6,3,2,1,0,0,0,0,18000,10000,1,1,1,0
276,286300,1381,-49,-41,0,0,0,0,0,0,0,0,0,0,1,1,1,0
277,576200,1558,15,-22,6,3,3,0,0,0,0,0,21300,8000,0,1,1,0
278,833250,1840,64,-6,4,1,2,1,0,0,0,0,14600,10000,0,1,1,0
279,836500,2313,55,19,4,0,4,0,0,0,0,0,19000,9000,0,1,1,0
280,571990,1608,0,-18,4,0,3,1,0,0,0,0,44000,30000,1,1,1,0
281,754760,2218,30,15,2,1,1,0,0,0,0,0,3200,3000,1,1,1,0
282,834760,2307,37,18,4,0,2,2,0,0,0,0,54000,30000,1,1,1,0
283,450490,1437,-30,-28,6,2,4,0,0,0,0,0,12700,4000,1,0,1,0
284,932410,2464,47,28,7,4,2,1,0,0,0,0,36500,30000,1,0,1,0
285,568200,1834,-16,-7,4,2,1,1,0,0,0,0,32700,30000,1,0,1,0
286,452730,1349,-34,-31,3,0,1,2,0,0,0,0,64000,30000,1,0,1,0
287,833660,2493,22,32,4,2,2,0,0,0,0,0,11000,6000,1,0,1,0
288,131820,583,-47,-42,1,0,1,0,0,0,0,0,1000,1000,1,0,0,0
289,72250,339,-70,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,58850,236,-73,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,54750,233,-38,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,43600,194,-48,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,58200,219,-27,-38,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
294,53320,203,-31,-39,1,0,1,0,0,0,0,0,4000,4000,0,0,0,0
295,447360,1332,-37,-33,2,1,1,0,0,0,0,0,8400,8000,0,0,1,0
296,993080,3023,49,56,3,1,0,2,0,0,0,0,70800,40000,1,0,1,0
297,593950,1972,-13,-2,4,2,1,1,0,0,0,0,32800,30000,1,0,1,0
298,570400,1892,-17,-7,2,0,2,0,0,0,0,0,11000,7000,1,0,1,0
299,788650,2361,18,17,3,2,1,0,0,0,0,0,6100,5000,1,0,1,0
300,383490,1401,-42,-30,1,0,0,1,0,0,0,0,30000,30000,1,0,1,0
301,415690,1486,-37,-26,1,0,1,0,0,0,0,0,7000,7000,1,0,1,0
302,645750,2035,7,6,4,1,1,2,0,0,0,0,63800,40000,1,0,1,0
303,649840,2256,6,17,3,1,2,0,0,0,0,0,8400,7000,1,0,1,0
304,380320,1545,-40,-24,4,1,2,1,0,0,0,0,30900,20000,1,0,1,0
305,401730,1329,-32,-31,3,2,0,1,0,0,0,0,91700,90000,1,0,1,0
306,459160,1714,-21,-11,1,0,0,1,0,0,0,0,40000,40000,1,0,1,0
307,285990,1109,67,62,1,0,1,0,0,0,0,0,6000,6000,1,0,0,0
308,557510,1946,5,8,3,2,1,0,0,0,0,0,5800,5000,1,0,1,0
309,536260,1733,2,-4,2,0,1,1,0,0,0,0,74000,70000,1,0,1,0
310,90160,425,-48,-39,0,0,0,0,0,0,0,0,0,0,1,0,0,0
311,55350,246,-65,-61,1,0,1,0,0,0,0,0,3000,3000,1,0,0,0
312,72780,269,-48,-52,1,0,1,0,0,0,0,0,3000,3000,0,0,0,0
313,498400,1647,-4,-8,1,1,0,0,0,0,0,0,300,300,0,0,1,0
314,342050,1607,-2,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,434360,1584,-38,-60,2,0,2,0,0,0,0,0,9000,6000,0,0,1,0
316,366500,1484,-46,-61,1,0,0,1,0,0,0,0,30000,30000,1,0,1,0
317,507230,2116,-21,-40,1,0,1,0,0,0,0,0,3000,3000,1,0,1,0
318,388530,1539,-11,-11,2,1,1,0,0,0,0,0,3200,3000,1,0,1,0
319,329680,1268,-24,-26,1,0,0,1,0,0,0,0,70000,70000,1,0,1,0
320,579440,2343,38,41,1,0,1,0,0,0,0,0,3000,3000,1,0,1,0
321,292040,1233,-33,-29,0,0,0,0,0,0,0,0,0,0,1,0,1,0
322,261010,1352,-38,-19,2,1,1,0,0,0,0,0,3700,3000,0,0,1,0
323,394660,1764,-2,8,3,1,1,1,0,0,0,0,35900,30000,1,0,1,0
324,464220,1808,16,10,2,1,0,1,0,0,0,0,40700,40000,1,0,1,0
325,393140,1685,-2,2,3,2,1,0,0,0,0,0,5200,4000,1,1,1,0
326,742750,3037,87,85,4,0,4,0,0,0,0,0,18000,8000,1,1,1,0
327,820600,3506,92,97,2,1,1,0,0,0,0,0,8700,8000,0,1,1,0
328,289580,1986,-38,2,2,0,1,1,0,0,0,0,54000,50000,1,1,1,0
